budget,revenue,title,id,release_date
4000000.0,9221.0,The Sacrament,211067,2013-09-02
1000000.0,9318.0,Honeymoon,254191,2014-09-12
8500000.0,9747.0,Welcome to the Punch,93828,2013-03-15
7300.0,13674.0,"Blood, Guts, Bullets and Octane",47139,1998-10-16
2500.0,15425.0,Quiet City,46883,2007-03-12
7000.0,424760.0,Primer,14337,2004-10-08
218.0,1162014.0,Tarnation,1435,2003-10-19
93.0,2500000.0,From Prada to Nada,50217,2011-01-28
1.0,8500000.0,Modern Times,3082,1936-02-05
10.0,10000000.0,Nurse 3-D,78383,2013-09-28
1.0,12396383.0,Less Than Zero,13703,1987-11-06
113.0,115103979.0,"The Karate Kid, Part II",8856,1986-06-18
