id,budget,revenue,title,imdb_id,release_date,gross,budget_new,budget_final,opening_weekend,cum_worldwide,revenue_final
2087,20000000,30,The Getaway,tt0109890,1994-02-11,"{'Cumulative Worldwide Gross': '$30,059,000'}",20000000,20000000,30,30059000,30059000
13997,20000000,32,Black Sheep,tt0115697,1996-02-01,None,20000000,20000000,32,32,32417995
193704,500,41,Assisted Living,tt0361322,2005-02-02,"{'Budget': '$500,000 (estimated)', 'Opening Weekend United States': '$14,146, 06 Feb 2005'}",500000,500000,14146,41,49048
74137,20000000,43,The Wedding Party,tt0065198,1969-04-09,"{'Budget': '$43,000 (estimated)'}",43000,43000,43,43,
169853,20000000,44,12 O’Clock Boys,tt2420006,2013-01-31,"{'Opening Weekend United States': '$44,108, 02 Feb 2014', 'Cumulative Worldwide Gross': '$2,600,200, 16 Jun 2015'}",20000000,20000000,44108,2600200 16 Jun 2015,2600200
26710,20000000,51,My Baby's Daddy,tt0332712,2004-01-09,"{'Opening Weekend United States': '$7,548,819, 11 Jan 2004'}",20000000,20000000,7548819,51,7548819
134680,20000000,60,Billy Gardell: Halftime,tt1860180,2011-02-05,None,20000000,20000000,60,60,
47813,20000000,80,Waking Sleeping Beauty,tt1159961,2009-09-05,"{'Opening Weekend United States': '$33,115, 28 Mar 2010'}",20000000,20000000,33115,80,33115
29231,50,83,The Immortals,tt0113394,1995-10-05,None,50,,83,83,
15417,5,85,Every Which Way But Loose,tt0077523,1978-12-19,"{'Budget': '$5,000,000 (estimated)', 'Opening Weekend United States': '$10,272,000, 24 Dec 1978'}",5000000,5000000,10272000,85,10272000
29966,20000000,88,Blood on the Moon,tt0040175,1948-11-09,None,20000000,20000000,88,88,
115893,20000000,97,"The Life and Death of 9413, a Hollywood Extra",tt0131461,1928-06-16,None,20000000,20000000,97,97,
39964,1,100,Lost & Found,tt0120836,1999-04-23,"{'Budget': '$30,000,000 (estimated)', 'Opening Weekend United States': '$3,024,709, 25 Apr 1999'}",30000000,30000000,3024709,100,3024709
16340,30,103,Rugrats in Paris: The Movie,tt0213203,2000-09-14,"{'Budget': '$30,000,000 (estimated)', 'Cumulative Worldwide Gross': '$103,291,131'}",30000000,30000000,103,103291131,103291131
57575,20000000,105,The Last Time I Saw Paris,tt0047162,1954-01-01,"{'Budget': '$1,960,000 (estimated)'}",1960000,1960000,105,105,
631,20000000,121,Sunrise: A Song of Two Humans,tt0018455,1927-09-23,"{'Budget': '$200,000 (estimated)', 'Cumulative Worldwide Gross': '$208,027'}",200000,200000,121,208027,208027
137563,20000000,125,A Band Called Death,tt2064713,2013-06-27,"{'Opening Weekend United States': '$34,839, 30 Jun 2013'}",20000000,20000000,34839,125,127257
250761,20000000,161,Last Days in Vietnam,tt3279124,2014-09-05,"{'Opening Weekend United States': '$30,500, 05 Sep 2014'}",20000000,20000000,30500,161,466114
51942,250,203,I Married a Strange Person!,tt0119346,1998-08-28,"{'Budget': '$250,000 (estimated)', 'Opening Weekend United States': '$13,472, 30 Aug 1998'}",250000,250000,13472,203,206272
400411,20000000,252,Satanic,tt4796122,2016-07-01,None,20000000,20000000,252,252,349183
266525,20000000,259,Alan & Naomi,tt0103640,1992-01-31,None,20000000,20000000,259,259,259311
