id,imdb_id,budget_old_new,budget_scrape
11862,tt0113041,0.0,30000000 
21032,tt0112453,0.0,0
9909,tt0112792,0.0,23000000 
9089,tt0113321,0.0,20000000 
2054,tt0113862,0.0,23000000 
11525,tt0116839,0.0,15000000 
28387,tt0113537,0.0,0
20927,tt0115644,0.0,0
10874,tt0117110,0.0,0
5757,tt0113756,0.0,0
26564,tt0109508,0.0,0
19326,tt0113500,0.0,0
47608,tt0113729,0.0,0
11472,tt0113986,0.0,0
18402,tt0114496,0.0,0
47939,tt0114663,0.0,10000000 
9090,tt0114682,0.0,0
10451,tt0111797,0.0,0
18395,tt0109758,0.0,25000000 
15789,tt0113198,0.0,18000000 
47867,tt0113199,0.0,0
14819,tt0110006,0.0,0
8986,tt0110516,0.0,0
10510,tt0110527,0.0,0
8438,tt0113870,0.0,0
41478,tt0114084,0.0,0
87078,tt0108260,0.0,0
11381,tt0114694,0.0,0
29973,tt0109450,0.0,0
16295,tt0113305,0.0,0
48992,tt0110091,0.0,0
10449,tt0111693,0.0,0
2758,tt0106220,0.0,47000000 
11853,tt0109198,0.0,25000000 
26203,tt0109297,0.0,11000000 
178,tt0109303,0.0,28000000 
18215,tt0106471,0.0,0
26391,tt0109361,0.0,0
18658,tt0109443,0.0,18000000 
11566,tt0106673,0.0,28000000 
18551,tt0106926,0.0,0
4916,tt0107057,0.0,12000000 
12475,tt0110123,0.0,0
59930,tt0110137,0.0,0
6,tt0107286,0.0,21000000 
1413,tt0107468,0.0,0
2246,tt0107497,0.0,20000000 
10502,tt0107501,0.0,0
18133,tt0107889,0.0,15000000 
25557,tt0111003,0.0,0
7007,tt0107969,0.0,35000000 
14291,tt0108065,0.0,12000000 
695,tt0108122,0.0,0
13203,tt0108186,0.0,0
24405,tt0109403,0.0,0
10897,tt0110366,0.0,23000000 
7300,tt0117247,0.0,0
10824,tt0112625,0.0,6000000 
25059,tt0116552,0.0,0
12520,tt0113613,0.0,0
19042,tt0115509,0.0,0
25087,tt0112536,0.0,0
38867,tt0109593,0.0,0
11867,tt0115624,0.0,9000000 
26890,tt0116594,0.0,0
31546,tt0115530,0.0,0
9308,tt0116531,0.0,0
18555,tt0116353,0.0,0
220,tt0048028,0.0,0
52855,tt0118927,0.0,0
63945,tt0118742,0.0,0
44465,tt0117473,0.0,0
10680,tt0116000,0.0,0
14821,tt0072951,0.0,0
24795,tt0109127,0.0,24000000 
9591,tt0117887,0.0,26000000 
30500,tt0117924,0.0,0
12614,tt0084865,0.0,0
11816,tt0082846,0.0,0
10548,tt0118147,0.0,0
41326,tt0099028,0.0,0
18129,tt0099703,0.0,0
11455,tt0078446,0.0,2000000 
696,tt0079522,0.0,9000000 
13667,tt0088794,0.0,0
8428,tt0100436,0.0,0
2640,tt0097493,0.0,3000000 
11314,tt0085809,0.0,0
15143,tt0094006,0.0,0
10322,tt0078841,0.0,0
14370,tt0089886,0.0,8000000 
2323,tt0097351,0.0,0
27214,tt0085159,0.0,6000000 
16235,tt0083550,0.0,5000000 
11449,tt0078767,0.0,4700000 
32076,tt0092632,0.0,13000000 
2212,tt0119791,0.0,0
2322,tt0105435,0.0,23000000 
2928,tt0117038,0.0,0
36758,tt0117364,0.0,0
9415,tt0119731,0.0,40000000 
12145,tt0119115,0.0,25000000 
9404,tt0116704,0.0,0
4104,tt0106387,0.0,0
14908,tt0119640,0.0,31190000 
28059,tt0120238,0.0,0
1968,tt0119141,0.0,20000000 
21915,tt0118750,0.0,0
50091,tt0118762,0.0,0
12723,tt0119381,0.0,0
9434,tt0119229,0.0,15000000 
9611,tt0120032,0.0,0
1811,tt0119809,0.0,0
50850,tt0120087,0.0,0
2058,tt0118556,0.0,0
107743,tt0118127,0.0,0
9433,tt0119051,0.0,30000000 
28353,tt0119326,0.0,0
25099,tt0119107,0.0,0
29911,tt0119095,0.0,0
9827,tt0119891,0.0,0
14398,tt0118900,0.0,0
38904,tt0119723,0.0,0
26941,tt0118566,0.0,0
12538,tt0120820,0.0,15000000 
9411,tt0119099,0.0,0
21736,tt0120661,0.0,0
53092,tt0119780,0.0,0
44308,tt0120793,0.0,0
17133,tt0119305,0.0,0
1774,tt0124295,0.0,0
9771,tt0120742,0.0,18000000 
76330,tt0141986,0.0,0
78373,tt0118925,0.0,0
4415,tt0119683,0.0,0
37636,tt0139362,0.0,0
